Category QoQ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     
FOUR WHEELER (INVALID CARRIAGE),321,334,332,343,357,274,303,232,195,336,271,248,"3,546"
HEAVY GOODS VEHICLE,"27,468","26,495","27,298","29,412","23,571","19,162","21,218","18,965","20,124","25,959","22,153","20,172","2,81,997"
HEAVY MOTOR VEHICLE,376,400,474,437,403,370,350,311,350,385,277,361,"4,494"
HEAVY PASSENGER VEHICLE,"2,467","2,634","3,245","2,800","2,729","2,438","2,780","2,294","2,744","3,651","2,305","2,521","32,608"
LIGHT GOODS VEHICLE,"54,655","52,106","51,859","47,507","46,737","41,545","46,970","43,772","43,572","59,671","51,607","43,950","5,83,951"
LIGHT MOTOR VEHICLE,"4,59,044","3,84,059","3,73,997","3,71,109","3,50,930","3,32,914","3,76,915","3,55,101","3,18,130","5,31,920","3,85,190","3,76,298","46,15,607"
LIGHT PASSENGER VEHICLE,"33,201","29,887","32,295","31,603","32,434","30,313","34,255","31,459","27,539","33,472","26,393","21,758","3,64,609"
MEDIUM GOODS VEHICLE,"3,277","3,267","3,143","3,353","3,115","2,711","3,119","3,098","3,315","3,745","3,199","2,639","37,981"
MEDIUM MOTOR VEHICLE,989,"1,197","1,052",985,863,761,779,667,789,919,972,959,"10,932"
MEDIUM PASSENGER VEHICLE,"1,662","2,521","2,613","2,769","3,277","3,761","3,635","2,689","2,329","2,317","1,789","1,579","30,941"
OTHER THAN MENTIONED ABOVE,"6,950","7,809","8,338","7,069","6,310","5,369","5,154","5,206","5,878","8,543","6,886","7,320","80,832"
THREE WHEELER (INVALID CARRIAGE),0,0,1,2,3,0,1,4,1,0,2,1,15
THREE WHEELER(NT),51,68,99,63,77,95,73,87,87,92,116,68,976
THREE WHEELER(T),"1,00,109","95,950","1,05,251","80,064","98,194","94,232","1,10,434","1,05,403","1,06,446","1,22,758","1,08,210","93,820","12,20,871"
TWO WHEELER (INVALID CARRIAGE),841,"2,503","3,181","1,342",884,807,"1,618","1,004",630,731,882,"1,443","15,866"
TWO WHEELER(NT),"14,63,892","14,43,656","15,33,834","16,48,450","15,38,422","13,79,606","14,48,400","13,42,852","12,06,370","20,72,982","26,25,759","12,00,441","1,89,04,664"
TWO WHEELER(T),"1,135","1,007","1,509","1,148","1,618","1,436","1,081","1,524","2,583","2,547","1,801","2,097","19,486"
