Maker QoQ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     
3EV INDUSTRIES PVT LTD,49,2,0,0,0,0,0,19,0,0,0,0,70
3S INDUSTRIES PRIVATE LIMITED,92,92,70,39,89,83,107,114,135,153,124,176,"1,274"
A1 HEAVY EQUIPMENTS DEVELOPER,1,3,3,1,1,1,0,3,1,2,0,1,17
A-1 SUREJA INDUSTRIES,0,0,1,0,1,0,0,0,3,2,1,0,8
AADHYA ENTERPRISES,58,67,28,43,38,25,47,55,58,45,67,40,571
AADITYA GARBAGE PRODUCTS PVT LTD,1,0,2,1,0,0,0,0,0,0,1,0,5
AAHANA COMMERCE PVT LTD,118,124,142,140,242,186,227,334,354,313,339,393,"2,912"
AAKK AUTO PVT LTD,0,0,0,1,2,5,7,11,5,16,7,6,60
AARGEE ELECTRIC,0,0,0,0,0,0,4,0,2,1,3,0,10
AARON INDUSTRIES,0,0,0,0,0,0,0,0,0,12,1,14,27
A.B. AGRO ENGINEERING WORKS,0,0,0,0,1,0,0,0,8,0,1,0,10
A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,0,0,0,0,0,0,0,2,0,0,0,0,2
ABZO MOTORS PVT LTD,5,3,6,6,18,6,4,2,5,7,4,2,68
ACCPL INFRA FABTECH PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0,1
ACCRETION POWER AUTOS,52,35,55,45,34,46,59,18,45,48,24,41,502
ACTION CONSTRUCTION EQUIPMENT LTD.,880,"1,087","1,116",847,878,911,888,803,951,813,746,877,"10,797"
A D AGRO WORKS,7,17,11,13,2,4,9,14,11,9,1,7,105
ADAPT MOTORS PVT LTD,1,0,0,1,0,0,0,0,0,0,0,0,2
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,396,236,100,62,90,120,113,121,161,83,309,602,"2,393"
ADIDEV TECHNOA PVT LTD,86,94,152,108,116,160,199,168,215,125,160,104,"1,687"
ADISHAKTI TRACTORS,0,0,0,1,0,0,0,0,0,0,1,0,2
ADISHWAR AUTO RIDE INDIA PVT LTD,24,30,19,24,14,19,23,19,18,23,23,10,246
ADITYA AGRO INDUSTRIES,4,6,13,1,2,0,6,2,2,10,12,3,61
ADITYA SAI INDUSTRIES,36,21,13,20,26,6,29,13,12,12,8,8,204
ADM TECHNOLOGIES PVT. LTD.,16,13,18,13,29,14,48,41,26,23,22,42,305
ADRIS ELECTRIC PVT LTD,1,2,3,1,0,0,1,0,0,0,0,0,8
AERODRIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,12,12
AEROEAGLE AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,3,22,12,37
AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,7,16,25,47,70,165
AFTEK MOTORS INDIA PVT LTD,0,1,12,5,7,6,1,3,1,0,3,0,39
"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,1,0,0,0,0,1,1,0,3
AGP ENGINEERING PRODUCTS,0,0,0,0,0,0,1,0,0,0,0,0,1
AGRAWAL RENEWABLE ENERGY PVT LTD,0,0,0,0,0,2,0,0,0,0,2,0,4
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,15,8,13,9,7,4,11,6,17,14,8,15,127
AGRO INDUSTRIES,12,9,12,5,9,4,9,18,13,13,13,8,125
AGRO TRAILERS AP312870751,0,0,0,0,1,0,0,0,0,0,0,0,1
AHMED MOTORS,0,7,4,0,0,2,1,0,0,0,1,2,17
AJANTA KRUSHI YANTRA,2,3,0,22,2,0,17,0,2,13,2,13,76
AJAX ENGINEERING LTD,372,395,449,517,438,340,353,287,285,371,332,375,"4,514"
AJAX FIORI ENGINEERING PVT LTD,1,0,0,0,0,0,1,0,0,1,0,0,3
AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,0,0,0,0,0,0,0,0,1,1,6,9
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,0,0,0,0,0,0,0,0,2,0,0,2
AJAY ENTERPRISES,1,0,1,2,0,1,1,3,0,0,0,0,9
AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,0,0,0,0,0,0,0,0,0,1,1,4,6
AJAY MOTORS PRIVATE LIMITED,15,10,5,11,24,22,22,13,16,26,17,14,195
A.J ENTERPRISES,9,17,3,7,9,9,12,15,27,24,21,13,166
AJIT ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0,0,0,1
AKAL AGRO INDUSTRY,4,5,5,5,3,3,4,1,5,5,0,0,40
AKASH TRAILOR,1,3,0,0,4,5,2,5,0,6,1,0,27
AKG INTERNATIONAL,113,114,109,153,166,171,229,176,145,148,188,125,"1,837"
A K GUPTA & CO.,50,46,67,32,60,36,59,63,53,63,44,112,685
AKMAAN MULTI MECH MACHINES,0,0,0,0,0,0,0,0,2,0,0,0,2
A K S ENG AGRO INDUSTRIES,2,1,1,0,1,2,2,4,2,1,3,1,20
ALBEDO VISION PVT LTD,0,0,0,0,2,2,0,2,0,0,0,0,6
ALIED E MOBILITY PVT LTD,0,0,0,0,0,0,1,9,15,12,7,27,71
ALLENTTI MOTORS PVT LTD,9,16,15,16,21,26,27,19,35,26,35,20,265
ALLFINE INDUSTRIES PVT LTD,882,867,873,788,852,825,"1,126","1,064",794,711,273,235,"9,290"
ALL TERRAIN CRANE,114,65,87,109,93,96,92,78,83,74,45,200,"1,136"
ALPHA SERVICES,1,1,2,0,0,3,1,1,1,0,1,0,11
ALTIER ELECTRIC VEHICLES PVT LTD,239,260,286,294,222,203,273,226,249,242,228,204,"2,926"
ALTIGREEN PROPULSION LABS PVT LTD,145,151,460,16,13,92,63,34,38,49,17,12,"1,090"
ALTIUS EV TECH PVT LTD,2,2,3,2,0,2,3,0,2,1,1,1,19
ALTIUS TECHNOLOGIES,2,0,1,0,0,2,2,0,0,0,3,1,11
ALVI AUTO,0,0,0,0,0,0,0,0,0,0,2,12,14
AMAC INNOVATIVES,0,0,0,0,0,0,0,2,0,0,0,0,2
AMAN AGRO INDUSTRIES,9,2,1,3,2,0,1,2,3,4,1,0,28
AMAN AUTOMOBILES,6,7,2,6,18,9,7,9,6,0,3,1,74
AMAN ELECTRIC VEHICLES,68,46,29,53,45,38,45,67,46,31,36,28,532
AMAN ENTERPRISES BHPATNA,0,0,0,0,0,0,0,0,0,2,14,6,22
AMAR ENGG. WORKS,2,2,0,0,0,0,0,1,0,1,0,1,7
AMARJEET HARVESTER INDUSTRY,3,3,4,4,3,1,3,7,2,1,0,2,33
AMBIKA ENTERPRISES,6,10,6,1,7,5,17,24,11,11,7,12,117
AMBIKA INDUSTRIES,191,139,133,103,146,147,178,164,160,164,153,202,"1,880"
AMIR KHAN SAIFI STEEL WORKS,0,0,0,0,0,0,4,1,3,2,6,5,21
AMMANN APOLLO INDIA PVT LTD,21,22,31,18,20,16,12,8,14,28,8,21,219
AMO MOBILITY SOLUTIONS PVT LTD,17,13,16,4,12,5,18,6,11,5,3,12,122
AMPERE VEHICLES PRIVATE LIMITED,178,122,139,164,103,99,44,105,45,25,20,45,"1,089"
